Rank,Name,Cause_of_Death,Date,Year,Month,Day,Department,State,K9_Unit
Police Officer,Harold Hamilton,Gunfire,"Monday, October 19, 1970",1970,October,Monday,"San Francisco Police Department, CA",California,0
Probationary Patrolman,Gerald C. Murphy,Gunfire,"Thursday, October 22, 1970",1970,October,Thursday,"New York City Police Department, NY",New York,0
Officer,Nathan I. Seidenberg,Vehicular assault,"Friday, October 23, 1970",1970,October,Friday,"California Highway Patrol, CA",California,0
Police Officer,Glenn E. Smith,Gunfire,"Saturday, October 24, 1970",1970,October,Saturday,"Detroit Police Department, MI",Michigan,0
Chief of Police,William Luther Gulledge,Automobile crash,"Sunday, October 25, 1970",1970,October,Sunday,"Midland City Police Department, AL",Alabama,0
Deputy Sheriff,James Thomas O'Bryant,Gunfire,"Monday, October 26, 1970",1970,October,Monday,"Attala County Sheriff's Department, MS",Mississippi,0
Lieutenant,James A. Kirkendall,Automobile crash,"Wednesday, October 28, 1970",1970,October,Wednesday,"Ohio State Highway Patrol, OH",Ohio,0
Sheriff,Raymond Warf,Heart attack,"Saturday, October 31, 1970",1970,October,Saturday,"Letcher County Sheriff's Office, KY",Kentucky,0
Chief of Police,Johnnie Lee Bud Spinks,Fall,"Monday, November 2, 1970",1970,November,Monday,"Vidalia Police Department, LA",Louisiana,0
Police Chief,James Clifford Norman,Gunfire,"Monday, November 2, 1970",1970,November,Monday,"Antlers Police Department, OK",Oklahoma,0
Patrolman,Paul Johnson Williams,Vehicle pursuit,"Sunday, November 8, 1970",1970,November,Sunday,"North Carolina Highway Patrol, NC",North Carolina,0
Police Officer,Alan Sroczynski,Automobile crash,"Sunday, November 8, 1970",1970,November,Sunday,"Milwaukee Police Department, WI",Wisconsin,0
Sergeant,Shelby Freeman Owens,Motorcycle crash,"Monday, November 9, 1970",1970,November,Monday,"Dothan Police Department, AL",Alabama,0
Patrolman,Emery Wilson,Motorcycle crash,"Monday, November 9, 1970",1970,November,Monday,"Biloxi Police Department, MS",Mississippi,0
Sergeant,"Henry Tustin, Jr.",Gunfire,"Monday, November 9, 1970",1970,November,Monday,"New York City Police Department, NY",New York,0
Patrolman,John Goodin,Gunfire (Inadvertent),"Tuesday, November 10, 1970",1970,November,Tuesday,"Athens Police Department, OH",Ohio,0
Deputy Sheriff,"Dell Walker Bowers, Jr.",Vehicle pursuit,"Wednesday, November 11, 1970",1970,November,Wednesday,"Val Verde County Sheriff's Office, TX",Texas,0
Lieutenant,William Warfield,Assault,"Tuesday, November 17, 1970",1970,November,Tuesday,"Washington State Department of Corrections, WA",Washington,0
Trooper,Russell John Moesta,Struck by train,"Thursday, November 19, 1970",1970,November,Thursday,"New Jersey State Police, NJ",New Jersey,0
Patrolman,"Paul G. Thomas, Jr.",Gunfire,"Friday, November 20, 1970",1970,November,Friday,"Chicago Police Department, IL",Illinois,0
Investigator,John F. Cotter,Automobile crash,"Saturday, November 21, 1970",1970,November,Saturday,"New York State Police, NY",New York,0
Military Police Officer,Kenneth Wayne McCord,Gunfire (Inadvertent),"Sunday, November 22, 1970",1970,November,Sunday,"United States Army Military Police Corps, US",United States,0
Deputy Sheriff,Donald G. Perry,Gunfire (Inadvertent),"Friday, November 27, 1970",1970,November,Friday,"Greene County Sheriff's Office, OH",Ohio,0
Police Officer,Joseph M. Soulliere,Gunfire,"Thursday, December 3, 1970",1970,December,Thursday,"Detroit Police Department, MI",Michigan,0
Guard,Dabney Slayden,Gunfire,"Friday, December 4, 1970",1970,December,Friday,"Virginia State Convict Road Force, VA",Virginia,0
Deputy Sheriff,Walter Gaik,Gunfire,"Monday, December 7, 1970",1970,December,Monday,"Ashland County Sheriff's Office, WI",Wisconsin,0
Deputy Sheriff,Louis Carl Wallace,Gunfire,"Tuesday, December 8, 1970",1970,December,Tuesday,"Los Angeles County Sheriff's Department, CA",California,0
Deputy Sheriff,Harold C. Ewald,Heart attack,"Tuesday, December 8, 1970",1970,December,Tuesday,"Washtenaw County Sheriff's Department, MI",Michigan,0
Deputy Sheriff,Carlos Manuel Magana,Struck by train,"Wednesday, December 9, 1970",1970,December,Wednesday,"Tulare County Sheriff's Office, CA",California,0
Trooper,Gary Richard Rosenberger,Gunfire,"Saturday, December 12, 1970",1970,December,Saturday,"Pennsylvania State Police, PA",Pennsylvania,0
Guard,Maynard R. Miller,Gunfire,"Thursday, December 17, 1970",1970,December,Thursday,"Susquehanna County Prison, PA",Pennsylvania,0
Game Warden,Paul Steven Smith,Drowned,"Saturday, December 19, 1970",1970,December,Saturday,"California Department of Fish and Wildlife, CA",California,0
Patrolman,"Harry F. Hartman, Jr.",Struck by vehicle,"Monday, December 21, 1970",1970,December,Monday,"East Pennsboro Township Police Department, PA",Pennsylvania,0
Ranger,William Lee Bryant,Gunfire (Inadvertent),"Wednesday, December 23, 1970",1970,December,Wednesday,"Georgia Department of Natural Resources, GA",Georgia,0
Correctional Officer,Donald Wagstaff,Assault,"Wednesday, December 23, 1970",1970,December,Wednesday,"Utah Department of Corrections, UT",Utah,0
Patrolman,Jimmy A. Traylor,Gunfire,"Friday, December 25, 1970",1970,December,Friday,"South Carolina Highway Patrol, SC",South Carolina,0
Patrol Officer,"William G. Pfalmer, Jr.",Gunfire,"Saturday, December 26, 1970",1970,December,Saturday,"Anchorage Police Department, AK",Alaska,0
Police Officer,Albert Raymond Bluhm,Gunfire,"Monday, December 28, 1970",1970,December,Monday,"Phoenix Police Department, AZ",Arizona,0
Police Officer,Dale Crist Stone,Motorcycle crash,"Monday, December 28, 1970",1970,December,Monday,"Phoenix Police Department, AZ",Arizona,0
Patrolman,James P. Lewis,Gunfire,"Tuesday, December 29, 1970",1970,December,Tuesday,"San Diego Police Department, CA",California,0
Lieutenant,"Michael J. Maguschak, Sr.",Gunfire,"Wednesday, December 30, 1970",1970,December,Wednesday,"Mingo Junction Police Department, OH",Ohio,0
Special Agent,"Leroy E. Halbert, Jr.",Gunfire,"Thursday, December 31, 1970",1970,December,Thursday,"United States Army Criminal Investigation Division, US",United States,0
K9,Kirk,Gunfire,"Thursday, December 3, 1970",1970,December,Thursday,"Chicago Police Department, IL",Illinois,1
Officer,Willie E. Turner,Gunfire,"Monday, January 4, 1971",1971,January,Monday,"Wynnewood Police Department, OK",Oklahoma,0
Police Officer,John James Burns,Struck by train,"Friday, January 8, 1971",1971,January,Friday,"Rahway Police Department, NJ",New Jersey,0
Special Agent,James Terry Abbott,Gunfire,"Monday, January 11, 1971",1971,January,Monday,"United States Army Criminal Investigation Division, US",United States,0
Police Officer,Danny Lee Watson,Gunfire,"Thursday, January 14, 1971",1971,January,Thursday,"Detroit Police Department, MI",Michigan,0
Police Officer,William G. Wortmann,Gunfire,"Friday, January 15, 1971",1971,January,Friday,"Detroit Police Department, MI",Michigan,0
Lieutenant,Billy E. Cowart,Gunfire,"Sunday, January 17, 1971",1971,January,Sunday,"Decatur Police Department, GA",Georgia,0
Deputy,Warren LaRue,Gunfire,"Monday, January 18, 1971",1971,January,Monday,"Maricopa County Sheriff's Office, AZ",Arizona,0
Deputy,Rex Atwood Stone,Gunfire,"Monday, January 18, 1971",1971,January,Monday,"Maricopa County Sheriff's Office, AZ",Arizona,0
Patrolman,Gerald Jerry Velotta,Gunfire (Inadvertent),"Tuesday, January 19, 1971",1971,January,Tuesday,"New York City Police Department, NY",New York,0
Trooper,William C. Keller,Automobile crash,"Friday, January 22, 1971",1971,January,Friday,"Delaware State Police, DE",Delaware,0
Patrolman,Robert Bolden,Gunfire,"Friday, January 22, 1971",1971,January,Friday,"New York City Police Department, NY",New York,0
Officer,James W. McMahon,Vehicular assault,"Saturday, January 23, 1971",1971,January,Saturday,"Southfield Police Department, MI",Michigan,0
Patrol Officer,Samuel Melvin Stephens,Gunfire,"Sunday, January 24, 1971",1971,January,Sunday,"Pahokee Police Department, FL",Florida,0
Detective Sergeant,Joseph K. Siepak,Automobile crash,"Tuesday, January 26, 1971",1971,January,Tuesday,"Detroit Police Department, MI",Michigan,0
Sergeant,Roger Leslie Rosengren,Gunfire,"Thursday, January 28, 1971",1971,January,Thursday,"Ramsey County Sheriff's Department, MN",Minnesota,0
Trooper,Larry Bruce Smith,Automobile crash,"Friday, January 29, 1971",1971,January,Friday,"Oklahoma Highway Patrol, OK",Oklahoma,0
Patrolman,Edgar J. Bronson,Gunfire,"Saturday, January 30, 1971",1971,January,Saturday,"Chicago Police Department, IL",Illinois,0
Police Officer,Robert Wayne Lee,Gunfire,"Sunday, January 31, 1971",1971,January,Sunday,"Houston Police Department, TX",Texas,0
Constable,"Louis O. Ford, Jr.",Assault,"Sunday, January 31, 1971",1971,January,Sunday,"Orange County Constable's Office - Precinct 3, TX",Texas,0
Police Officer,Daniel G. Ellis,Gunfire,"Wednesday, February 3, 1971",1971,February,Wednesday,"Detroit Police Department, MI",Michigan,0
Deputy,Richard Lee Henke,Vehicular assault,"Thursday, February 4, 1971",1971,February,Thursday,"St. Charles County Sheriff's Office, MO",Missouri,0
Officer,James L. Keeton,Gunfire,"Friday, February 5, 1971",1971,February,Friday,"Arizona Department of Public Safety, AZ",Arizona,0
Officer,Don A. Beckstead,Gunfire,"Sunday, February 7, 1971",1971,February,Sunday,"Arizona Department of Public Safety, AZ",Arizona,0
City Marshal,J. Y. Gasche,Heart attack,"Sunday, February 7, 1971",1971,February,Sunday,"Pierce City Police Department, MO",Missouri,0
Deputy Sheriff,Edward Keith Henry,Automobile crash,"Sunday, February 7, 1971",1971,February,Sunday,"Lawrence County Sheriff's Office, OH",Ohio,0
Deputy Sheriff,David Leroy Ford,Automobile crash,"Sunday, February 7, 1971",1971,February,Sunday,"Lawrence County Sheriff's Office, OH",Ohio,0
Patrolman,William J. Wirtz,Motorcycle crash,"Wednesday, February 10, 1971",1971,February,Wednesday,"Denver Police Department, CO",Colorado,0
Officer,Charles D. Logasa,Aircraft accident,"Thursday, February 11, 1971",1971,February,Thursday,"San Francisco Police Department, CA",California,0
Agent,Thomas Jefferson Greer,Heart attack,"Thursday, February 11, 1971",1971,February,Thursday,"Missouri Division of Alcohol and Tobacco Control, MO",Missouri,0
Deputy Sheriff,"George Alvis Robinson, Jr.",Automobile crash,"Thursday, February 11, 1971",1971,February,Thursday,"Johnson County Sheriff's Office, TX",Texas,0
Sergeant,Robert H. Graham,Motorcycle crash,"Sunday, February 14, 1971",1971,February,Sunday,"Leeds Police Department, AL",Alabama,0
Detective,Joseph A. Picciano,Gunfire,"Monday, February 15, 1971",1971,February,Monday,"New York City Police Department, NY",New York,0
Deputy Sheriff,William Don Reese,Gunfire,"Monday, February 15, 1971",1971,February,Monday,"Dallas County Sheriff's Department, TX",Texas,0
Deputy Sheriff,"Samuel Garcia Infante, Jr.",Gunfire,"Monday, February 15, 1971",1971,February,Monday,"Dallas County Sheriff's Department, TX",Texas,0
Deputy Sheriff,Arthur James Robertson,Gunfire,"Monday, February 15, 1971",1971,February,Monday,"Ellis County Sheriff's Office, TX",Texas,0
Trooper,William James Bill Walker,Gunfire,"Wednesday, February 17, 1971",1971,February,Wednesday,"Oklahoma Highway Patrol, OK",Oklahoma,0
Patrolman,Horace D. Lord,Gunfire,"Friday, February 19, 1971",1971,February,Friday,"New York City Police Department, NY",New York,0
Officer,David H. Rose,Gunfire (Inadvertent),"Saturday, February 20, 1971",1971,February,Saturday,"Metropolitan Police Department, DC",District of Columbia,0
Sergeant,"Victor Butler, Jr.",Gunfire,"Saturday, February 20, 1971",1971,February,Saturday,"Miami Police Department, FL",Florida,0
Marshal,James E. Red Larimer,Gunfire,"Saturday, February 20, 1971",1971,February,Saturday,"St. John Police Department, IN",Indiana,0
Trooper,John Joseph Streu,Gunfire,"Saturday, February 20, 1971",1971,February,Saturday,"Indiana State Police, IN",Indiana,0
Detective,Erle M. Thompson,Gunfire,"Saturday, February 20, 1971",1971,February,Saturday,"New York City Police Department, NY",New York,0
Police Officer,"John F. McEntee, Jr.",Gunfire,"Saturday, February 20, 1971",1971,February,Saturday,"Philadelphia Police Department, PA",Pennsylvania,0
Police Officer,Joseph V. Kelly,Gunfire,"Sunday, February 21, 1971",1971,February,Sunday,"Philadelphia Police Department, PA",Pennsylvania,0
Policeman,Jose L. Machin-Delgado,Gunfire,"Sunday, February 21, 1971",1971,February,Sunday,"Puerto Rico Police Department, PR",Puerto Rico,0
Patrolman,William Frank Chasteen,Gunfire,"Sunday, February 21, 1971",1971,February,Sunday,"Greenville Police Department, SC",South Carolina,0
Beverage Enforcement Agent,Arthur Burdette Dillard,Automobile crash,"Monday, February 22, 1971",1971,February,Monday,"Florida Division of Alcoholic Beverages and Tobacco, FL",Florida,0
Detective,Melvin Wilmoth,Gunfire,"Tuesday, February 23, 1971",1971,February,Tuesday,"St. Louis Metropolitan Police Department, MO",Missouri,0
Detective,Clinton Monroe Boggs,Gunfire,"Thursday, February 25, 1971",1971,February,Thursday,"Mount Airy Police Department, NC",North Carolina,0
Deputy Jailer,Bobby Lee Mayo,Gunfire,"Sunday, February 28, 1971",1971,February,Sunday,"McLennan County Sheriff's Office, TX",Texas,0
Patrolman,William J. Otis,Gunfire,"Wednesday, March 3, 1971",1971,March,Wednesday,"Pittsburgh Bureau of Police, PA",Pennsylvania,0
Correctional Officer,Robert J. McCarthy,Stabbed,"Thursday, March 4, 1971",1971,March,Thursday,"California Department of Corrections and Rehabilitation, CA",California,0
Patrolman,Jackie T. Thiels,Automobile crash,"Monday, March 8, 1971",1971,March,Monday,"Alexandria Police Department, LA",Louisiana,0
Officer,Glen Patrick Fisher,Gunfire,"Wednesday, March 10, 1971",1971,March,Wednesday,"Metropolitan Police Department, DC",District of Columbia,0
Patrolman,Robert B. Woodall,Automobile crash,"Wednesday, March 10, 1971",1971,March,Wednesday,"Oberlin Police Department, OH",Ohio,0
Deputy Sheriff,Jimmie Don Tiny Ellison,Gunfire,"Wednesday, March 10, 1971",1971,March,Wednesday,"Howard County Sheriff's Office, TX",Texas,0
Lieutenant Colonel,Juan B. Mercado-Vega,Gunfire,"Thursday, March 11, 1971",1971,March,Thursday,"Puerto Rico Police Department, PR",Puerto Rico,0
Sergeant,Miguel A. Rosario-Rondon,Gunfire,"Thursday, March 11, 1971",1971,March,Thursday,"Puerto Rico Police Department, PR",Puerto Rico,0
Patrolman,"Melvin A. Galloway, Jr.",Gunfire,"Sunday, March 21, 1971",1971,March,Sunday,"Chicago Police Department, IL",Illinois,0
City Marshal,Milton Boortz,Gunfire,"Thursday, March 25, 1971",1971,March,Thursday,"Malone City Marshal's Office, TX",Texas,0
Patrolman,Samuel Steven Kidwiler,Fall,"Sunday, March 28, 1971",1971,March,Sunday,"Brunswick Police Department, MD",Maryland,0
Correctional Officer,Robert E. Kendricks,Stabbed,"Monday, March 29, 1971",1971,March,Monday,"Alabama Department of Corrections, AL",Alabama,0
Police Officer,Paul Kramer,Gunfire,"Tuesday, March 30, 1971",1971,March,Tuesday,"St. Louis Metropolitan Police Department, MO",Missouri,0
Deputy U.S. Marshal,Marcelo G. Moya,Automobile crash,"Tuesday, March 30, 1971",1971,March,Tuesday,"United States Department of Justice - United States Marshals Service, US",United States,0
Deputy U.S. Marshal,Hilton E. Schorre,Automobile crash,"Tuesday, March 30, 1971",1971,March,Tuesday,"United States Department of Justice - United States Marshals Service, US",United States,0
Chief of Police,Edward O. Kanz,Heart attack,"Wednesday, March 31, 1971",1971,March,Wednesday,"University of Washington Police Department, WA",Washington,0
Corrections Employee,Robert Jefferson,Stabbed,"Thursday, April 1, 1971",1971,April,Thursday,"Illinois Department of Corrections, IL",Illinois,0
Police Officer,Leonard A. Christiansen,Gunfire,"Friday, April 2, 1971",1971,April,Friday,"Riverside Police Department, CA",California,0
Police Officer,Paul C. Teel,Gunfire,"Friday, April 2, 1971",1971,April,Friday,"Riverside Police Department, CA",California,0
Detective,Gerald A. Foote,Automobile crash,"Saturday, April 3, 1971",1971,April,Saturday,"Johnson County Sheriff's Office, KS",Kansas,0
Patrolman,Tom Sam Hakaim,Gunfire,"Saturday, April 3, 1971",1971,April,Saturday,"Cleveland Division of Police, OH",Ohio,0
Sergeant,Jerome Thurman Spybuck,Gunfire,"Saturday, April 3, 1971",1971,April,Saturday,"Tulsa Police Department, OK",Oklahoma,0
Deputy Sheriff,Ben Ray Walker,Gunfire,"Tuesday, April 6, 1971",1971,April,Tuesday,"Genesee County Sheriff's Office, MI",Michigan,0
Patrolman,George A. Frees,Gunfire,"Tuesday, April 6, 1971",1971,April,Tuesday,"Suffolk County Police Department, NY",New York,0
Captain,Morris B. Glenn,Automobile crash,"Wednesday, April 7, 1971",1971,April,Wednesday,"Chattanooga Police Department, TN",Tennessee,0
Chief of Police,Richard Robert Vandermate,Gunfire,"Friday, April 9, 1971",1971,April,Friday,"Oshkosh Police Department, NE",Nebraska,0
Auxiliary Trooper,Ormand Franklin Watkins,Gunfire,"Sunday, April 11, 1971",1971,April,Sunday,"Alabama Department of Public Safety, AL",Alabama,0
Officer,Robert James Quirk,Heart attack,"Sunday, April 11, 1971",1971,April,Sunday,"California Highway Patrol, CA",California,0
Military Police Officer,Dexter Carleton Krulis,Gunfire,"Thursday, April 22, 1971",1971,April,Thursday,"United States Army Military Police Corps, US",United States,0
Chief of Police,P. A. Tex Goyne,Gunfire,"Thursday, April 22, 1971",1971,April,Thursday,"New Salem Police Department, ND",North Dakota,0
Officer,Loren D. Scruggs,Gunfire,"Friday, April 23, 1971",1971,April,Friday,"California Highway Patrol, CA",California,0
Sergeant,Joseph M. Monteparo,Stabbed,"Saturday, April 24, 1971",1971,April,Saturday,"Asbury Park Police Department, NJ",New Jersey,0
